ID,Entity,Year
1,Ale,2022
2,Almond butter,2022
3,Almond milk,2022
4,Almonds,2022
5,Apple juice,2022
6,Apple pie,2022
7,Apples,2022
8,Apricot jam,2022
9,Asparagus,2022
10,Avocados,2022
11,Bacon,2022
12,Bagels,2022
13,Baguette,2022
14,Banana loaf,2022
15,Bananas,2022
16,Beans,2022
17,Beef burger,2022
18,Beef curry,2022
19,Beef meatballs,2022
20,Beef mince,2022
21,Beef noodles,2022
22,Beef steak,2022
23,Beer,2022
24,Beetroot,2022
25,Biscuits,2022
26,Blue cheese,2022
27,Brazil nuts,2022
28,Bread,2022
29,Breakfast cereal,2022
30,Brie,2022
31,Broccoli,2022
32,Butter,2022
33,Cabbage,2022
34,Caesar salad,2022
35,Camembert,2022
36,Carrot cake,2022
37,Carrots,2022
38,Cashew nuts,2022
39,Cauliflower,2022
40,Cereal bars,2022
41,Cheddar cheese,2022
42,Cheesecake,2022
43,Cherry tomatoes,2022
44,Chia seeds,2022
45,Chicken breast,2022
46,Chicken burger,2022
47,Chicken curry,2022
48,Chicken noodles,2022
49,Chicken pasta,2022
50,Chicken sausages,2022
51,Chicken thighs,2022
52,Chicken wings,2022
53,Chickpeas,2022
54,Chilli con carne,2022
55,Chocolate biscuits,2022
56,Chocolate cake,2022
57,Chocolate cereals,2022
58,Chocolate cheesecake,2022
59,Chocolate spread,2022
60,Cider,2022
61,Coconut milk,2022
62,Coconut oil,2022
63,Cod,2022
64,Cod fish fingers,2022
65,Cod fishcakes,2022
66,Coffee beans,2022
67,Coffee pods,2022
68,Cookies,2022
69,Cottage cheese,2022
70,Cottage pie,2022
71,Courgettes,2022
72,Couscous,2022
73,Cow's milk,2022
74,Cracker biscuits,2022
75,Crisps,2022
76,Croissants,2022
77,Cucumber,2022
78,Dairy-free cheese,2022
79,Dairy-free ice cream,2022
80,Dark chocolate,2022
81,Doughnuts,2022
82,Egg noodles,2022
83,Eggs,2022
84,Falafels,2022
85,Feta cheese,2022
86,Flapjack,2022
87,Frozen chips (french fries),2022
88,Frozen jacket potatoes,2022
89,Frozen mashed potato,2022
90,Frozen onion rings,2022
91,Frozen potato wedges,2022
92,Frozen roast potatoes,2022
93,Frozen sweet potato fries,2022
94,Fruit cake,2022
95,Fruit smoothies,2022
96,Garden peas,2022
97,Goat's cheese,2022
98,Granola,2022
99,Grapes,2022
100,Haddock risotto,2022
101,Halloumi cheese,2022
102,Ice cream,2022
103,Ice lollies,2022
104,Instant coffee,2022
105,Kale,2022
106,Kiwis,2022
107,Lamb (leg),2022
108,Lamb Hotpot,2022
109,Lamb burgers,2022
110,Lamb casserole,2022
111,Lamb chops,2022
112,Lamb curry,2022
113,Lamb moussaka,2022
114,Lasagne sheets,2022
115,Lemons,2022
116,Lentils,2022
117,Lettuce,2022
118,Limes,2022
119,Macaroni cheese,2022
120,Mackerel,2022
121,Marmalade,2022
122,Meat pizza,2022
123,Meat-free burger,2022
124,Meat-free mince,2022
125,Meat-free nuggets,2022
126,Meat-free sausages,2022
127,Melon,2022
128,Milk chocolate,2022
129,Mixed salad,2022
130,Mozzarella cheese,2022
131,Muesli,2022
132,Muffins,2022
133,Mushrooms,2022
134,Naan,2022
135,Nut loaf,2022
136,Oat milk,2022
137,Olive oil,2022
138,Onions,2022
139,Orange juice,2022
140,Oranges,2022
141,Pain au chocolat,2022
142,Pancakes,2022
143,Parmesan cheese,2022
144,Parsnips,2022
145,Pasta shells,2022
146,Peanut butter,2022
147,Peanuts,2022
148,Pears,2022
149,Pecan nuts,2022
150,Penne pasta,2022
151,Peppers,2022
152,Pineapple,2022
153,Pitta bread,2022
154,Popcorn,2022
155,Poppadoms,2022
156,Pork chops,2022
157,Pork loin,2022
158,Pork sausage rolls,2022
159,Pork sausages,2022
160,Porridge (oatmeal),2022
161,Potato croquettes,2022
162,Potatoes,2022
163,Prawn crackers,2022
164,Prawns,2022
165,Protein bar,2022
166,Protein shake,2022
167,Pumpkin seeds,2022
168,Quiche,2022
169,Quinoa,2022
170,Rapeseed oil,2022
171,Raspberries,2022
172,Raspberry jam,2022
173,Rice,2022
174,Rice milk,2022
175,Rice noodles,2022
176,Ricotta cheese,2022
177,Salmon,2022
178,Salmon fishcakes,2022
179,Sausage rolls,2022
180,Shepherd's pie,2022
181,Shortbread biscuits,2022
182,Sourdough bread,2022
183,Soy desert,2022
184,Soy milk,2022
185,Soy yoghurt,2022
186,Spaghetti,2022
187,Spaghetti bolognese,2022
188,Spinach,2022
189,Sponge cake,2022
190,Steak pie,2022
191,Strawberries,2022
192,Strawberry jam,2022
193,Sugar,2022
194,Sunflower oil,2022
195,Sunflower seeds,2022
196,Sweetcorn,2022
197,Tea,2022
198,Tofu,2022
199,Tomato ketchup,2022
200,Tomatoes,2022
201,Tortilla wraps,2022
202,Tuna,2022
203,Vegan pizza,2022
204,Vegetable lasagne,2022
205,Vegetarian chilli con carne,2022
206,Vegetarian curry,2022
207,Vegetarian pizza,2022
208,Walnuts,2022
209,Watermelon,2022
210,Wine,2022
211,Yoghurt,2022
